moa	dose	assay	avg_precision	no_of_compounds_per_moa	median_replicate_correlation	p_value_percent_matching
alk tyrosine kinase receptor inhibitor	0.37 uM	Cell Painting	0.0020656687198839646	3	-0.050049101637081206	0.974
alk tyrosine kinase receptor inhibitor	1.11 uM	Cell Painting	0.006461248033775825	3	0.02212142824990115	0.278
alk tyrosine kinase receptor inhibitor	3.33 uM	Cell Painting	0.010537631362993242	3	0.10646183680339674	0.008
alk tyrosine kinase receptor inhibitor	10 uM	Cell Painting	0.007829532991613132	3	0.1249325894935218	0.024
alk tyrosine kinase receptor inhibitor	All	Cell Painting	0.0027278402320671524	18	0.024649468475980055	0
alk tyrosine kinase receptor inhibitor	0.04 uM	L1000	0.003784521305898922	3	0.0623671511082742	0.212
alk tyrosine kinase receptor inhibitor	0.12 uM	L1000	0.003559523833262071	3	-0.020494667018827566	0.709
alk tyrosine kinase receptor inhibitor	0.37 uM	L1000	0.005008574684303008	3	0.09783219188446131	0.106
alk tyrosine kinase receptor inhibitor	1.11 uM	L1000	0.009947789697055703	3	0.13171619186362218	0.049
alk tyrosine kinase receptor inhibitor	3.33 uM	L1000	0.04354901084969875	3	-0.0027806793534416773	0.589
alk tyrosine kinase receptor inhibitor	10 uM	L1000	0.01888866080407229	3	0.07094741076511718	0.189
alk tyrosine kinase receptor inhibitor	All	L1000	0.003334590380295695	18	0.046121703625433705	0.001
ampk activator	All	Cell Painting	NA	6	-0.0028039044828104247	0.915
ampk activator	All	L1000	7.161506847729555e-4	12	-0.020776005197187614	1
androgen receptor agonist	0.04 uM	Cell Painting	NA	3	0.22021968670113634	0.001
androgen receptor agonist	0.12 uM	Cell Painting	NA	3	0.20121404780055255	0.001
androgen receptor agonist	0.37 uM	Cell Painting	NA	3	0.1849513956268927	0
androgen receptor agonist	1.11 uM	Cell Painting	NA	3	0.19284008855652268	0
androgen receptor agonist	3.33 uM	Cell Painting	NA	3	0.22081544230178954	0.001
androgen receptor agonist	10 uM	Cell Painting	NA	3	0.15547618806653532	0.009
androgen receptor agonist	All	Cell Painting	NA	6	0.19364881674638063	0
androgen receptor agonist	0.04 uM	L1000	0.007626994833333513	3	0.04766271383912794	0.284
androgen receptor agonist	0.12 uM	L1000	0.09247743100749782	3	0.21559648984109417	0.003
androgen receptor agonist	0.37 uM	L1000	0.032746974824783996	3	0.1831937822713826	0.01
androgen receptor agonist	1.11 uM	L1000	0.0270847693294007	3	0.12910225755808016	0.05
