compound	no_of_replicates	dose	p_value	matching_score	assay	normalization	category
chlorphenamine	5	0.12 uM	0.145	0.0208184275193347	Cell Painting	spherized	all_data
chlorpromazine	5	0.12 uM	0.71	-0.0051499494298311	Cell Painting	spherized	all_data
chlortalidone	5	0.12 uM	0.004	0.0494191577130705	Cell Painting	spherized	all_data
cholic-acid	2	0.12 uM	0.623	-0.0081739114058075	Cell Painting	spherized	all_data
choline-alfoscerate	5	0.12 uM	0.0	0.0889680081252858	Cell Painting	spherized	all_data
cianidanol	5	0.12 uM	0.375	0.0086200972111664	Cell Painting	spherized	all_data
ciclesonide	5	0.12 uM	0.0	0.5226520398105303	Cell Painting	spherized	all_data
ciglitazone	5	0.12 uM	0.04	0.0333607140524718	Cell Painting	spherized	all_data
cilengitide	5	0.12 uM	0.0	0.0882867680089095	Cell Painting	spherized	all_data
cilomilast	2	0.12 uM	0.446	0.0110701485437655	Cell Painting	spherized	all_data
cilostazol	5	0.12 uM	0.0	0.1223084162004778	Cell Painting	spherized	all_data
cimetidine	5	0.12 uM	0.001	0.0628461699367417	Cell Painting	spherized	all_data
cinepazide	5	0.12 uM	0.0	0.2405841320446307	Cell Painting	spherized	all_data
cinnarizine	5	0.12 uM	0.012	0.0389174274165071	Cell Painting	spherized	all_data
cinoxacin	5	0.12 uM	0.001	0.0545536366593169	Cell Painting	spherized	all_data
ciprofloxacin	5	0.12 uM	0.068	0.0283083618034438	Cell Painting	spherized	all_data
cisapride	5	0.12 uM	0.0	0.1043562172728783	Cell Painting	spherized	all_data
citalopram	5	0.12 uM	0.013	0.0386113159935039	Cell Painting	spherized	all_data
cladribine	5	0.12 uM	0.0	0.1588200602144164	Cell Painting	spherized	all_data
clarithromycin	5	0.12 uM	0.001	0.0567343311418971	Cell Painting	spherized	all_data
clenbuterol	5	0.12 uM	0.0	0.0644190921068496	Cell Painting	spherized	all_data
clinafloxacin	5	0.12 uM	0.189	0.0181306816954088	Cell Painting	spherized	all_data
clindamycin	5	0.12 uM	0.211	0.0166944683851725	Cell Painting	spherized	all_data
clinofibrate	5	0.12 uM	0.125	0.0223042320221751	Cell Painting	spherized	all_data
clioquinol	5	0.12 uM	0.05	0.0315114466406723	Cell Painting	spherized	all_data
clobetasol	5	0.12 uM	0.0	0.5110103920645064	Cell Painting	spherized	all_data
clofarabine	5	0.12 uM	0.0	0.4827130110153923	Cell Painting	spherized	all_data
clofazimine	5	0.12 uM	0.732	-0.0062686542112262	Cell Painting	spherized	all_data
clofoctol	4	0.12 uM	0.001	0.0947520018799496	Cell Painting	spherized	all_data
clomethiazole	5	0.12 uM	0.01	0.0414087795848674	Cell Painting	spherized	all_data
clomifene	5	0.12 uM	0.003	0.0512055022842758	Cell Painting	spherized	all_data
clonazepam	2	0.12 uM	0.486	0.0062728533302185	Cell Painting	spherized	all_data
clonidine	5	0.12 uM	0.0	0.1258284147170053	Cell Painting	spherized	all_data
clotrimazole	5	0.12 uM	0.0	0.0736313006743236	Cell Painting	spherized	all_data
co-102862	5	0.12 uM	0.356	0.0099266051995616	Cell Painting	spherized	all_data
cobimetinib	4	0.12 uM	0.0	0.131193082872312	Cell Painting	spherized	all_data
colforsin-daproate	5	0.12 uM	0.0	0.0672661974777187	Cell Painting	spherized	all_data
combretastatin-a-4	5	0.12 uM	0.0	0.6160353304862698	Cell Painting	spherized	all_data
cordycepin	5	0.12 uM	0.055	0.0307458319458685	Cell Painting	spherized	all_data
cp-945,598	5	0.12 uM	0.049	0.031726637762431	Cell Painting	spherized	all_data
cpi-1189	5	0.12 uM	0.053	0.0309384570210212	Cell Painting	spherized	all_data
cpi-613	5	0.12 uM	0.237	0.0149149064992778	Cell Painting	spherized	all_data
cromoglicic-acid	5	0.12 uM	0.001	0.0621253498053668	Cell Painting	spherized	all_data
curcumin	5	0.12 uM	0.216	0.0162444794708461	Cell Painting	spherized	all_data
cx-4945	5	0.12 uM	0.078	0.0267973092433208	Cell Painting	spherized	all_data
cx-5461	5	0.12 uM	0.0	0.5425847189546543	Cell Painting	spherized	all_data
cx516	5	0.12 uM	0.653	-0.0033372980180488	Cell Painting	spherized	all_data
cyclobenzaprine	2	0.12 uM	0.848	-0.0389172001856873	Cell Painting	spherized	all_data
cyclosporin-a	5	0.12 uM	0.0	0.3783993813500472	Cell Painting	spherized	all_data
cyproheptadine	5	0.12 uM	0.112	0.0233185143178775	Cell Painting	spherized	all_data
cyproterone-acetate	5	0.12 uM	0.001	0.0629963755350257	Cell Painting	spherized	all_data
cytarabine	5	0.12 uM	0.208	0.0169077762569813	Cell Painting	spherized	all_data
d-serine	5	0.12 uM	0.095	0.0248088482293489	Cell Painting	spherized	all_data
dabigatran-etexilate	5	0.12 uM	0.038	0.0335115428906066	Cell Painting	spherized	all_data
dabrafenib	5	0.12 uM	0.0	0.211756631475203	Cell Painting	spherized	all_data
dacarbazine	5	0.12 uM	0.001	0.0587407952664264	Cell Painting	spherized	all_data
dacinostat	5	0.12 uM	0.0	0.6087565101192778	Cell Painting	spherized	all_data
dacomitinib	5	0.12 uM	0.0	0.1705605325007472	Cell Painting	spherized	all_data
danegaptide	5	0.12 uM	0.71	-0.0051526087821245	Cell Painting	spherized	all_data
dantrolene	5	0.12 uM	0.016	0.037735420776623	Cell Painting	spherized	all_data
dapagliflozin	5	0.12 uM	0.007	0.0458458410288451	Cell Painting	spherized	all_data
dapivirine	5	0.12 uM	0.0	0.1421421448943416	Cell Painting	spherized	all_data
dapsone	5	0.12 uM	0.022	0.0363988054796488	Cell Painting	spherized	all_data
darifenacin	5	0.12 uM	0.0	0.0790786897648597	Cell Painting	spherized	all_data
darunavir	5	0.12 uM	0.13	0.0217773678259622	Cell Painting	spherized	all_data
dasabuvir	4	0.12 uM	0.026	0.045564021646628	Cell Painting	spherized	all_data
dasatinib	5	0.12 uM	0.0	0.5787191136793901	Cell Painting	spherized	all_data
dazoxiben	5	0.12 uM	0.069	0.0281591779893145	Cell Painting	spherized	all_data
decitabine	5	0.12 uM	0.0	0.2740804729449529	Cell Painting	spherized	all_data
defactinib	2	0.12 uM	0.238	0.0336438961070643	Cell Painting	spherized	all_data
deferasirox	5	0.12 uM	0.0	0.2158021881463959	Cell Painting	spherized	all_data
deferiprone	5	0.12 uM	0.0	0.0722053338847227	Cell Painting	spherized	all_data
deforolimus	5	0.12 uM	0.0	0.5416811709525795	Cell Painting	spherized	all_data
dehydroepiandrosterone	5	0.12 uM	0.577	-0.0001211608353443	Cell Painting	spherized	all_data
delanzomib	5	0.12 uM	0.0	0.7832429614574866	Cell Painting	spherized	all_data
delivert	5	0.12 uM	0.003	0.0507717136338839	Cell Painting	spherized	all_data
dequalinium	5	0.12 uM	0.0	0.1355036406905633	Cell Painting	spherized	all_data
desmopressin-acetate	5	0.12 uM	0.0	0.1334571256745417	Cell Painting	spherized	all_data
dexamethasone	10	0.12 uM	0.0	0.3645849076393694	Cell Painting	spherized	all_data
dexfenfluramine	5	0.12 uM	0.08	0.0264234460962707	Cell Painting	spherized	all_data
dexniguldipine	2	0.12 uM	0.782	-0.0299775945129899	Cell Painting	spherized	all_data
dextromethorphan	5	0.12 uM	0.129	0.0219952499647898	Cell Painting	spherized	all_data
diacerein	5	0.12 uM	0.023	0.0359552128906349	Cell Painting	spherized	all_data
diazepam	5	0.12 uM	0.003	0.0520218998456152	Cell Painting	spherized	all_data
diclofenac	5	0.12 uM	0.008	0.0430479535369565	Cell Painting	spherized	all_data
diclofensine	5	0.12 uM	0.017	0.0375116418996774	Cell Painting	spherized	all_data
dicloxacillin	5	0.12 uM	0.0	0.0643454949392719	Cell Painting	spherized	all_data
dicoumarol	5	0.12 uM	0.0	0.0952010126701754	Cell Painting	spherized	all_data
dideoxyadenosine	5	0.12 uM	0.03	0.0346786109189813	Cell Painting	spherized	all_data
dienogest	5	0.12 uM	0.001	0.054490925283544	Cell Painting	spherized	all_data
diethylcarbamazine	5	0.12 uM	0.004	0.0485529882093045	Cell Painting	spherized	all_data
diethylstilbestrol	5	0.12 uM	0.217	0.0160334573737369	Cell Painting	spherized	all_data
diflunisal	5	0.12 uM	0.013	0.038373598780441	Cell Painting	spherized	all_data
dihydroergocristine	5	0.12 uM	0.001	0.0625852092692014	Cell Painting	spherized	all_data
dihydroergotamine	5	0.12 uM	0.001	0.0599931650657826	Cell Painting	spherized	all_data
dilazep	5	0.12 uM	0.0	0.1832654138065151	Cell Painting	spherized	all_data
diltiazem	5	0.12 uM	0.004	0.0501601131207918	Cell Painting	spherized	all_data
dimesna	5	0.12 uM	0.036	0.0340403361780085	Cell Painting	spherized	all_data
diminazene-aceturate	5	0.12 uM	0.498	0.0033053093256318	Cell Painting	spherized	all_data
dinaciclib	5	0.12 uM	0.0	0.7250331578012366	Cell Painting	spherized	all_data
diosmin	5	0.12 uM	0.008	0.0424365449891945	Cell Painting	spherized	all_data
diphenidol	4	0.12 uM	0.794	-0.0117649077878015	Cell Painting	spherized	all_data
dipraglurant	5	0.12 uM	0.004	0.0492094813844375	Cell Painting	spherized	all_data
disopyramide	5	0.12 uM	0.0	0.1013848458993913	Cell Painting	spherized	all_data
disulfiram	5	0.12 uM	0.0	0.3114005298962845	Cell Painting	spherized	all_data
dmp-777	5	0.12 uM	0.448	0.0056129595997449	Cell Painting	spherized	all_data
docetaxel	5	0.12 uM	0.0	0.6947007342596629	Cell Painting	spherized	all_data
dofequidar	5	0.12 uM	0.004	0.0482166943042559	Cell Painting	spherized	all_data
donepezil	5	0.12 uM	0.0	0.0687392897866594	Cell Painting	spherized	all_data
donitriptan	5	0.12 uM	0.0	0.0747506037974826	Cell Painting	spherized	all_data
dopamine	2	0.12 uM	0.09	0.0600399169402555	Cell Painting	spherized	all_data
doramapimod	5	0.12 uM	0.001	0.0623077132894636	Cell Painting	spherized	all_data
dorzolamide	5	0.12 uM	0.414	0.0067422627064152	Cell Painting	spherized	all_data
doxapram	5	0.12 uM	0.002	0.0536132076037532	Cell Painting	spherized	all_data
doxazosin	5	0.12 uM	0.125	0.0224421936975432	Cell Painting	spherized	all_data
doxepin	5	0.12 uM	0.008	0.0437227891446388	Cell Painting	spherized	all_data
doxifluridine	5	0.12 uM	0.001	0.0546129777435288	Cell Painting	spherized	all_data
doxofylline	5	0.12 uM	0.217	0.0159868092638289	Cell Painting	spherized	all_data
doxorubicin	5	0.12 uM	0.0	0.6203387476124327	Cell Painting	spherized	all_data
doxycycline-hyclate	5	0.12 uM	0.001	0.0541965966453502	Cell Painting	spherized	all_data
dpcpx	4	0.12 uM	0.108	0.0270941129589365	Cell Painting	spherized	all_data
dpi-201106	5	0.12 uM	0.005	0.0473758942761991	Cell Painting	spherized	all_data
dronedarone	5	0.12 uM	0.538	0.0014624169290038	Cell Painting	spherized	all_data
droperidol	5	0.12 uM	0.003	0.0531826389929226	Cell Painting	spherized	all_data
drospirenone	4	0.12 uM	0.986	-0.0401381602218574	Cell Painting	spherized	all_data
du-728	5	0.12 uM	0.013	0.0387501224475229	Cell Painting	spherized	all_data
duloxetine	5	0.12 uM	0.209	0.0168794924099516	Cell Painting	spherized	all_data
dutasteride	5	0.12 uM	0.001	0.0553537077985262	Cell Painting	spherized	all_data
e-2012	5	0.12 uM	0.484	0.0039148390651573	Cell Painting	spherized	all_data
ebselen	5	0.12 uM	0.002	0.0537928962172271	Cell Painting	spherized	all_data
econazole	5	0.12 uM	0.0	0.1014587582003765	Cell Painting	spherized	all_data
edoxaban	5	0.12 uM	0.0	0.1293309806153609	Cell Painting	spherized	all_data
edoxudine	5	0.12 uM	0.0	0.0646929565691737	Cell Painting	spherized	all_data
efaproxiral	2	0.12 uM	0.252	0.0309622822553433	Cell Painting	spherized	all_data
efavirenz	2	0.12 uM	0.507	0.0041595862916975	Cell Painting	spherized	all_data
eflornithine	5	0.12 uM	0.001	0.0586120593242139	Cell Painting	spherized	all_data
elesclomol	5	0.12 uM	0.0	0.3181021738591832	Cell Painting	spherized	all_data
emd-53998	5	0.12 uM	0.338	0.0111963998137255	Cell Painting	spherized	all_data
emedastine	5	0.12 uM	0.017	0.0375161878756826	Cell Painting	spherized	all_data
emtricitabine	5	0.12 uM	0.0	0.0936866036877769	Cell Painting	spherized	all_data
enalapril	5	0.12 uM	0.013	0.0385020416841642	Cell Painting	spherized	all_data
enoxacin	5	0.12 uM	0.001	0.0585217013602829	Cell Painting	spherized	all_data
entecavir	5	0.12 uM	0.023	0.0360694478503725	Cell Painting	spherized	all_data
enzalutamide	5	0.12 uM	0.0	0.1116506075863529	Cell Painting	spherized	all_data
eperezolid	5	0.12 uM	0.001	0.0588251873706962	Cell Painting	spherized	all_data
epinastine	5	0.12 uM	0.0	0.0771581706809758	Cell Painting	spherized	all_data
epinephrine	5	0.12 uM	0.046	0.0320430117632788	Cell Painting	spherized	all_data
epirizole	2	0.12 uM	0.423	0.0133247569964997	Cell Painting	spherized	all_data
epirubicin	5	0.12 uM	0.0	0.7621059824872851	Cell Painting	spherized	all_data
epitiostanol	4	0.12 uM	0.0	0.259062969008178	Cell Painting	spherized	all_data
epothilone-b	5	0.12 uM	0.0	0.6060689633889433	Cell Painting	spherized	all_data
equol	5	0.12 uM	0.0	0.0850077350346295	Cell Painting	spherized	all_data
ercalcitriol	5	0.12 uM	0.0	0.081613227406603	Cell Painting	spherized	all_data
erlotinib	5	0.12 uM	0.0	0.21114329805156	Cell Painting	spherized	all_data
erteberel	5	0.12 uM	0.0	0.3067188422974036	Cell Painting	spherized	all_data
erythromycin	10	0.12 uM	0.659	0.0003420561615185	Cell Painting	spherized	all_data
escitalopram	5	0.12 uM	0.004	0.0477438389606847	Cell Painting	spherized	all_data
esmolol	5	0.12 uM	0.215	0.0164248890113377	Cell Painting	spherized	all_data
estramustine	5	0.12 uM	0.008	0.0438930321073934	Cell Painting	spherized	all_data
estrone	2	0.12 uM	0.079	0.0656165903155914	Cell Painting	spherized	all_data
etacrynic-acid	5	0.12 uM	0.097	0.0246157260449087	Cell Painting	spherized	all_data
etanidazole	5	0.12 uM	0.0	0.063537289260798	Cell Painting	spherized	all_data
etazolate	5	0.12 uM	0.001	0.0544124164420521	Cell Painting	spherized	all_data
ethinyl-estradiol	4	0.12 uM	0.053	0.0368368019620727	Cell Painting	spherized	all_data
ethylenediaminetetraacetic-acid	5	0.12 uM	0.0	0.1605123009742337	Cell Painting	spherized	all_data
etizolam	5	0.12 uM	0.119	0.0228286840273898	Cell Painting	spherized	all_data
etodolac	5	0.12 uM	0.0	0.1163769773962758	Cell Painting	spherized	all_data
etofylline-clofibrate	5	0.12 uM	0.083	0.0257861132717679	Cell Painting	spherized	all_data
etomidate	5	0.12 uM	0.013	0.0387075240994418	Cell Painting	spherized	all_data
etomoxir	5	0.12 uM	0.001	0.0556938346986465	Cell Painting	spherized	all_data
etoricoxib	5	0.12 uM	0.094	0.0248881667552922	Cell Painting	spherized	all_data
etravirine	5	0.12 uM	0.003	0.0516922731383475	Cell Painting	spherized	all_data
eugenol	5	0.12 uM	0.19	0.0180624238532802	Cell Painting	spherized	all_data
everolimus	5	0.12 uM	0.0	0.580151007033567	Cell Painting	spherized	all_data
evp-6124	5	0.12 uM	0.04	0.033373567882241	Cell Painting	spherized	all_data
exalamide	5	0.12 uM	0.0	0.089208946233321	Cell Painting	spherized	all_data
exherin	5	0.12 uM	0.167	0.0197178381673431	Cell Painting	spherized	all_data
fadrozole	5	0.12 uM	0.477	0.0042206085917054	Cell Painting	spherized	all_data
famciclovir	5	0.12 uM	0.0	0.3596240303799733	Cell Painting	spherized	all_data
famotidine	4	0.12 uM	0.046	0.0393958504654468	Cell Painting	spherized	all_data
faropenem	5	0.12 uM	0.0	0.1610659805616547	Cell Painting	spherized	all_data
fasudil	5	0.12 uM	0.0	0.0673888535481718	Cell Painting	spherized	all_data
favipiravir	5	0.12 uM	0.0	0.0791970657711539	Cell Painting	spherized	all_data
febuxostat	5	0.12 uM	0.007	0.0460435278412456	Cell Painting	spherized	all_data
felodipine	5	0.12 uM	0.325	0.0117052824085835	Cell Painting	spherized	all_data
fenobam	5	0.12 uM	0.058	0.0298543153549066	Cell Painting	spherized	all_data
fenoterol	5	0.12 uM	0.092	0.0250314243994377	Cell Painting	spherized	all_data
fenticonazole	5	0.12 uM	0.001	0.0555873041301205	Cell Painting	spherized	all_data
fexofenadine	5	0.12 uM	0.138	0.0213560661733739	Cell Painting	spherized	all_data
fiacitabine	5	0.12 uM	0.0	0.0869335729290604	Cell Painting	spherized	all_data
fidarestat	5	0.12 uM	0.216	0.0161485104850877	Cell Painting	spherized	all_data
fidaxomicin	5	0.12 uM	0.0	0.0648590358459799	Cell Painting	spherized	all_data
filgotinib	5	0.12 uM	0.001	0.0545887867827381	Cell Painting	spherized	all_data
fipronil	5	0.12 uM	0.012	0.0403186870515239	Cell Painting	spherized	all_data
firategrast	5	0.12 uM	0.001	0.0541907531621512	Cell Painting	spherized	all_data
flavoxate	5	0.12 uM	0.408	0.0069233170357664	Cell Painting	spherized	all_data
flecainide	5	0.12 uM	0.011	0.0408836052500151	Cell Painting	spherized	all_data
fluconazole	5	0.12 uM	0.0	0.0890306018359155	Cell Painting	spherized	all_data
fludarabine-phosphate	5	0.12 uM	0.0	0.12438460276487	Cell Painting	spherized	all_data
fludroxycortide	5	0.12 uM	0.0	0.5193133838531406	Cell Painting	spherized	all_data
flumatinib	5	0.12 uM	0.0	0.0996084110059833	Cell Painting	spherized	all_data
flumazenil	5	0.12 uM	0.016	0.0379148669274388	Cell Painting	spherized	all_data
fluorometholone	5	0.12 uM	0.0	0.6968663637785733	Cell Painting	spherized	all_data
fluorouracil	5	0.12 uM	0.0	0.0968154321261665	Cell Painting	spherized	all_data
fluphenazine	5	0.12 uM	0.0	0.0892621182665114	Cell Painting	spherized	all_data
fluspirilene	5	0.12 uM	0.003	0.0514999604471015	Cell Painting	spherized	all_data
fluticasone	5	0.12 uM	0.0	0.4236991132576748	Cell Painting	spherized	all_data
flutrimazole	4	0.12 uM	0.001	0.1023585060904699	Cell Painting	spherized	all_data
fluvoxamine	5	0.12 uM	0.558	0.0005279298733481	Cell Painting	spherized	all_data
folic-acid	5	0.12 uM	0.0	0.0863416729713911	Cell Painting	spherized	all_data
fomepizole	5	0.12 uM	0.055	0.0304140657672114	Cell Painting	spherized	all_data
fomocaine	5	0.12 uM	0.025	0.0356230144914987	Cell Painting	spherized	all_data
formestane	5	0.12 uM	0.0	0.2112062246686187	Cell Painting	spherized	all_data
formoterol	5	0.12 uM	0.356	0.0099134098468474	Cell Painting	spherized	all_data
forskolin	5	0.12 uM	0.031	0.0344492912726418	Cell Painting	spherized	all_data
fosfomycin	5	0.12 uM	0.0	0.0888004029572983	Cell Painting	spherized	all_data
fostamatinib	5	0.12 uM	0.0	0.0778833166696048	Cell Painting	spherized	all_data
fpl-62064	5	0.12 uM	0.0	0.1114501679256554	Cell Painting	spherized	all_data
ftorafur	5	0.12 uM	0.045	0.0321701341117198	Cell Painting	spherized	all_data
fulvestrant	4	0.12 uM	0.001	0.0777446827881332	Cell Painting	spherized	all_data
fusidic-acid	5	0.12 uM	0.03	0.0347254618492191	Cell Painting	spherized	all_data
gabapentin	5	0.12 uM	0.0	0.5100213348419831	Cell Painting	spherized	all_data
ganaxolone	5	0.12 uM	0.055	0.0303452656561659	Cell Painting	spherized	all_data
gatifloxacin	5	0.12 uM	0.03	0.0348690213152244	Cell Painting	spherized	all_data
gdc-0068	5	0.12 uM	0.069	0.0280929081481829	Cell Painting	spherized	all_data
gdc-0152	5	0.12 uM	0.0	0.2282680638542239	Cell Painting	spherized	all_data
gdc-0199	5	0.12 uM	0.001	0.0571851309630494	Cell Painting	spherized	all_data
gdc-0834	5	0.12 uM	0.061	0.0291414272815983	Cell Painting	spherized	all_data
gefitinib	5	0.12 uM	0.008	0.0431865569097288	Cell Painting	spherized	all_data
gemcitabine	5	0.12 uM	0.0	0.6487812071330392	Cell Painting	spherized	all_data
gemfibrozil	5	0.12 uM	0.0	0.1136129489208281	Cell Painting	spherized	all_data
gemifloxacin	2	0.12 uM	0.803	-0.0327995094946664	Cell Painting	spherized	all_data
genz-644282	5	0.12 uM	0.0	0.6918917269296354	Cell Painting	spherized	all_data
gimeracil	5	0.12 uM	0.013	0.0384940460351142	Cell Painting	spherized	all_data
ginkgolide-b	5	0.12 uM	0.142	0.0211836990776608	Cell Painting	spherized	all_data
glasdegib	5	0.12 uM	0.008	0.0432800184480302	Cell Painting	spherized	all_data
glimepiride	5	0.12 uM	0.038	0.0334294694027895	Cell Painting	spherized	all_data
glipizide	5	0.12 uM	0.0	0.1340257902498891	Cell Painting	spherized	all_data
gliquidone	5	0.12 uM	0.008	0.043854369834351	Cell Painting	spherized	all_data
glycitein	5	0.12 uM	0.004	0.0477653229531261	Cell Painting	spherized	all_data
glycopyrrolate	5	0.12 uM	0.0	0.1172576442018191	Cell Painting	spherized	all_data
golvatinib	5	0.12 uM	0.012	0.0391872700003141	Cell Painting	spherized	all_data
goserelin-acetate	5	0.12 uM	0.01	0.041561060849867	Cell Painting	spherized	all_data
granisetron	5	0.12 uM	0.222	0.0158239943550558	Cell Painting	spherized	all_data
grazoprevir	5	0.12 uM	0.067	0.0284654157431989	Cell Painting	spherized	all_data
griseofulvin	5	0.12 uM	0.027	0.0351888098674411	Cell Painting	spherized	all_data
gsk1292263	5	0.12 uM	0.0	0.1059171572465149	Cell Painting	spherized	all_data
gsk256066	2	0.12 uM	0.782	-0.0300099315568831	Cell Painting	spherized	all_data
gsk2636771	5	0.12 uM	0.006	0.0466365385513943	Cell Painting	spherized	all_data
guanabenz	5	0.12 uM	0.027	0.0352021721079441	Cell Painting	spherized	all_data
guanadrel	5	0.12 uM	0.001	0.0549903272828832	Cell Painting	spherized	all_data
guanethidine	5	0.12 uM	0.169	0.0194490079062186	Cell Painting	spherized	all_data
gw842166	5	0.12 uM	0.254	0.0143789310205926	Cell Painting	spherized	all_data
halcinonide	5	0.12 uM	0.0	0.3802899952092416	Cell Painting	spherized	all_data
haloperidol	5	0.12 uM	0.0	0.1382979469038694	Cell Painting	spherized	all_data
hc-030031	5	0.12 uM	0.021	0.0366002435360109	Cell Painting	spherized	all_data
hesperidin	5	0.12 uM	0.598	-0.0012010186383503	Cell Painting	spherized	all_data
hexachlorophene	5	0.12 uM	0.0	0.3584617922175537	Cell Painting	spherized	all_data
histamine	4	0.12 uM	0.001	0.0742576562607617	Cell Painting	spherized	all_data
homochlorcyclizine	5	0.12 uM	0.001	0.0555958696840026	Cell Painting	spherized	all_data
homoharringtonine	5	0.12 uM	0.0	0.6767657419175828	Cell Painting	spherized	all_data
hydrocortisone	5	0.12 uM	0.0	0.4515607036467432	Cell Painting	spherized	all_data
hydroxyurea	5	0.12 uM	0.001	0.0548106720611163	Cell Painting	spherized	all_data
hymecromone	5	0.12 uM	0.008	0.0442495764097539	Cell Painting	spherized	all_data
hypericin	5	0.12 uM	0.057	0.0301110390757352	Cell Painting	spherized	all_data
ib-meca	5	0.12 uM	0.531	0.001729572003534	Cell Painting	spherized	all_data
ibrutinib	5	0.12 uM	0.0	0.2813681196827575	Cell Painting	spherized	all_data
ibudilast	5	0.12 uM	0.001	0.061288762415803	Cell Painting	spherized	all_data
ibuprofen	5	0.12 uM	0.001	0.0603595167960641	Cell Painting	spherized	all_data
ibutamoren	5	0.12 uM	0.509	0.0027252259766075	Cell Painting	spherized	all_data
ici-162846	5	0.12 uM	0.043	0.0326802421515377	Cell Painting	spherized	all_data
ici-185,282	5	0.12 uM	0.0	0.0641600849127873	Cell Painting	spherized	all_data
ici-192605	5	0.12 uM	0.0	0.1458049192711721	Cell Painting	spherized	all_data
idalopirdine	5	0.12 uM	0.003	0.0510756706089297	Cell Painting	spherized	all_data
idelalisib	5	0.12 uM	0.0	0.1021811597734372	Cell Painting	spherized	all_data
idoxuridin	5	0.12 uM	0.0	0.0990400720853066	Cell Painting	spherized	all_data
iguratimod	5	0.12 uM	0.0	0.2244898564743958	Cell Painting	spherized	all_data
ilomastat	5	0.12 uM	0.126	0.0222464983535274	Cell Painting	spherized	all_data
imexon	5	0.12 uM	0.01	0.0411295242983533	Cell Painting	spherized	all_data
imiloxan	5	0.12 uM	0.012	0.04050304266836	Cell Painting	spherized	all_data
imipramine	2	0.12 uM	0.587	-0.0049968410035326	Cell Painting	spherized	all_data
imiquimod	5	0.12 uM	0.021	0.0367155495185473	Cell Painting	spherized	all_data
indacaterol	5	0.12 uM	0.067	0.0284554600531688	Cell Painting	spherized	all_data
indapamide	5	0.12 uM	0.099	0.0241856995279688	Cell Painting	spherized	all_data
indibulin	5	0.12 uM	0.0	0.2838356593664491	Cell Painting	spherized	all_data
indinavir	5	0.12 uM	0.037	0.0335742046042361	Cell Painting	spherized	all_data
indiplon	5	0.12 uM	0.161	0.0200997658104704	Cell Painting	spherized	all_data
indirubin	5	0.12 uM	0.0	0.1558800281364843	Cell Painting	spherized	all_data
indobufen	5	0.12 uM	0.0	0.0889336390320645	Cell Painting	spherized	all_data
indole	4	0.12 uM	0.001	0.0868972869588894	Cell Painting	spherized	all_data
indoprofen	2	0.12 uM	0.158	0.0458319855624712	Cell Painting	spherized	all_data
indoramin	5	0.12 uM	0.003	0.0530396724385622	Cell Painting	spherized	all_data
ingenol-mebutate	5	0.12 uM	0.0	0.7438554745177084	Cell Painting	spherized	all_data
inosine	5	0.12 uM	0.002	0.0540794780329115	Cell Painting	spherized	all_data
iowh032	5	0.12 uM	0.04	0.0331770838359486	Cell Painting	spherized	all_data
ipratropium	5	0.12 uM	0.037	0.0338021596120892	Cell Painting	spherized	all_data
ipriflavone	5	0.12 uM	0.036	0.033902004641963	Cell Painting	spherized	all_data
irinotecan	5	0.12 uM	0.0	0.0641640839830869	Cell Painting	spherized	all_data
isbufylline	5	0.12 uM	0.0	0.0929485133526516	Cell Painting	spherized	all_data
isoconazole	5	0.12 uM	0.508	0.0028137037223493	Cell Painting	spherized	all_data
isosorbide	5	0.12 uM	0.204	0.0173750219819744	Cell Painting	spherized	all_data
isradipine	5	0.12 uM	0.246	0.0146515698427281	Cell Painting	spherized	all_data
istaroxime	5	0.12 uM	0.052	0.0312648021386817	Cell Painting	spherized	all_data
itopride	5	0.12 uM	0.045	0.0321064599238854	Cell Painting	spherized	all_data
ivabradine	5	0.12 uM	0.001	0.056828191942484	Cell Painting	spherized	all_data
ivacaftor	5	0.12 uM	0.0	0.1177376308343468	Cell Painting	spherized	all_data
ivermectin	5	0.12 uM	0.0	0.065579490319388	Cell Painting	spherized	all_data
ixabepilone	5	0.12 uM	0.0	0.4300004206582279	Cell Painting	spherized	all_data
josamycin	5	0.12 uM	0.008	0.0428835327587799	Cell Painting	spherized	all_data
kakonein	5	0.12 uM	0.0	0.1200165897339862	Cell Painting	spherized	all_data
kbg	4	0.12 uM	0.047	0.0391726056263698	Cell Painting	spherized	all_data
kd-023	5	0.12 uM	0.0	0.0968014577316756	Cell Painting	spherized	all_data
kd025	5	0.12 uM	0.281	0.0132836159369775	Cell Painting	spherized	all_data
ketoconazole	5	0.12 uM	0.001	0.0622804304173559	Cell Painting	spherized	all_data
ketoprofen	5	0.12 uM	0.732	-0.0061737282690248	Cell Painting	spherized	all_data
ketorolac	2	0.12 uM	0.891	-0.0488291151447684	Cell Painting	spherized	all_data
ketotifen	5	0.12 uM	0.008	0.0430775773064655	Cell Painting	spherized	all_data
kpt-330	5	0.12 uM	0.0	0.5491170820913217	Cell Painting	spherized	all_data
kw-2449	5	0.12 uM	0.0	0.1311833435809663	Cell Painting	spherized	all_data
kw-2478	2	0.12 uM	0.034	0.0851212513368334	Cell Painting	spherized	all_data
kx2-391	5	0.12 uM	0.0	0.5425875694491749	Cell Painting	spherized	all_data
l-citrulline	5	0.12 uM	0.0	0.1611247569358861	Cell Painting	spherized	all_data
