compound	no_of_replicates	dose	matching_score	assay	normalization	category
gdc-0834	5	1.11 uM	0.3197966028476247	Cell Painting	non_spherized	all_data
gefitinib	5	1.11 uM	0.4616336751881214	Cell Painting	non_spherized	all_data
gemcitabine	5	1.11 uM	0.9253184167393972	Cell Painting	non_spherized	all_data
gemfibrozil	5	1.11 uM	0.8485221727554941	Cell Painting	non_spherized	all_data
gemifloxacin	2	1.11 uM	0.174472222957086	Cell Painting	non_spherized	all_data
genz-644282	5	1.11 uM	0.8873126383838243	Cell Painting	non_spherized	all_data
gestrinone	5	1.11 uM	0.8355437387645047	Cell Painting	non_spherized	all_data
gimeracil	5	1.11 uM	0.2132670055221768	Cell Painting	non_spherized	all_data
ginkgolide-b	5	1.11 uM	0.2649482981059821	Cell Painting	non_spherized	all_data
glasdegib	5	1.11 uM	0.397394377083796	Cell Painting	non_spherized	all_data
gliclazide	5	1.11 uM	0.669844651634127	Cell Painting	non_spherized	all_data
glimepiride	5	1.11 uM	0.2271317681512943	Cell Painting	non_spherized	all_data
glipizide	5	1.11 uM	0.3208139843447746	Cell Painting	non_spherized	all_data
gliquidone	5	1.11 uM	0.1804269654018599	Cell Painting	non_spherized	all_data
glycitein	5	1.11 uM	0.1613953187475847	Cell Painting	non_spherized	all_data
glycopyrrolate	5	1.11 uM	0.1704656612561207	Cell Painting	non_spherized	all_data
golvatinib	5	1.11 uM	0.4599438195226152	Cell Painting	non_spherized	all_data
goserelin-acetate	5	1.11 uM	0.1085245979520448	Cell Painting	non_spherized	all_data
granisetron	5	1.11 uM	0.1417624223861754	Cell Painting	non_spherized	all_data
grazoprevir	5	1.11 uM	0.1259286925911188	Cell Painting	non_spherized	all_data
griseofulvin	5	1.11 uM	0.2430944675580186	Cell Painting	non_spherized	all_data
gsk1292263	5	1.11 uM	0.4414402141216226	Cell Painting	non_spherized	all_data
gsk2110183	5	1.11 uM	0.5318440911962423	Cell Painting	non_spherized	all_data
gsk256066	2	1.11 uM	-0.1688511978235571	Cell Painting	non_spherized	all_data
gsk2636771	5	1.11 uM	0.1987814733527151	Cell Painting	non_spherized	all_data
guanabenz	5	1.11 uM	0.6037787913924264	Cell Painting	non_spherized	all_data
guanadrel	5	1.11 uM	0.4134269009637146	Cell Painting	non_spherized	all_data
guanethidine	5	1.11 uM	0.3727633736740796	Cell Painting	non_spherized	all_data
gw842166	5	1.11 uM	0.2378148118135752	Cell Painting	non_spherized	all_data
halcinonide	5	1.11 uM	0.7562769475325052	Cell Painting	non_spherized	all_data
haloperidol	5	1.11 uM	0.4758953473331551	Cell Painting	non_spherized	all_data
hc-030031	5	1.11 uM	0.1075524055970729	Cell Painting	non_spherized	all_data
hesperidin	5	1.11 uM	0.4688460019974773	Cell Painting	non_spherized	all_data
hexachlorophene	5	1.11 uM	0.7276101962087848	Cell Painting	non_spherized	all_data
histamine	4	1.11 uM	0.2162551310912468	Cell Painting	non_spherized	all_data
homochlorcyclizine	5	1.11 uM	0.353522211353575	Cell Painting	non_spherized	all_data
homoharringtonine	5	1.11 uM	0.9120609165446528	Cell Painting	non_spherized	all_data
honokiol	5	1.11 uM	0.4020779984452115	Cell Painting	non_spherized	all_data
hydrocortisone	5	1.11 uM	0.6488309536607293	Cell Painting	non_spherized	all_data
hydroxyurea	5	1.11 uM	0.156032665379543	Cell Painting	non_spherized	all_data
hymecromone	5	1.11 uM	0.4402810242426097	Cell Painting	non_spherized	all_data
hypericin	5	1.11 uM	0.140154305115529	Cell Painting	non_spherized	all_data
i-bet-762	5	1.11 uM	0.7007379029016977	Cell Painting	non_spherized	all_data
ib-meca	5	1.11 uM	0.2667112185921038	Cell Painting	non_spherized	all_data
ibrutinib	5	1.11 uM	0.6892905232892618	Cell Painting	non_spherized	all_data
ibudilast	5	1.11 uM	0.43560178090795	Cell Painting	non_spherized	all_data
ibuprofen	5	1.11 uM	0.412058177795573	Cell Painting	non_spherized	all_data
ibutamoren	5	1.11 uM	0.101931347906419	Cell Painting	non_spherized	all_data
ici-162846	5	1.11 uM	-0.00206203552437	Cell Painting	non_spherized	all_data
ici-185,282	5	1.11 uM	0.1607008999630289	Cell Painting	non_spherized	all_data
ici-192605	5	1.11 uM	0.0132950264073793	Cell Painting	non_spherized	all_data
idalopirdine	5	1.11 uM	0.2364725517226079	Cell Painting	non_spherized	all_data
idelalisib	5	1.11 uM	0.2991604326671768	Cell Painting	non_spherized	all_data
idoxuridin	5	1.11 uM	0.5414698544480923	Cell Painting	non_spherized	all_data
ifosfamide	5	1.11 uM	0.45886836599382	Cell Painting	non_spherized	all_data
iguratimod	5	1.11 uM	0.8160664424465356	Cell Painting	non_spherized	all_data
ilomastat	5	1.11 uM	0.2618842866290825	Cell Painting	non_spherized	all_data
imatinib	5	1.11 uM	0.3159454261769089	Cell Painting	non_spherized	all_data
imexon	5	1.11 uM	0.3121533940128245	Cell Painting	non_spherized	all_data
imiloxan	5	1.11 uM	0.3657424915315074	Cell Painting	non_spherized	all_data
imipramine	2	1.11 uM	0.1116818393974047	Cell Painting	non_spherized	all_data
imiquimod	5	1.11 uM	0.4273309038324778	Cell Painting	non_spherized	all_data
indacaterol	5	1.11 uM	0.523903108718506	Cell Painting	non_spherized	all_data
indapamide	5	1.11 uM	0.1495984951387057	Cell Painting	non_spherized	all_data
indibulin	5	1.11 uM	0.8809494836077769	Cell Painting	non_spherized	all_data
indinavir	5	1.11 uM	0.2207991455895797	Cell Painting	non_spherized	all_data
indiplon	5	1.11 uM	0.2823147511423441	Cell Painting	non_spherized	all_data
indirubin	5	1.11 uM	0.4598953432839716	Cell Painting	non_spherized	all_data
indobufen	5	1.11 uM	0.3294204531276961	Cell Painting	non_spherized	all_data
indole	4	1.11 uM	0.3735385344329017	Cell Painting	non_spherized	all_data
indoprofen	2	1.11 uM	0.1631070901596938	Cell Painting	non_spherized	all_data
indoramin	5	1.11 uM	0.2832646249302364	Cell Painting	non_spherized	all_data
ingenol-mebutate	5	1.11 uM	0.8854931486922202	Cell Painting	non_spherized	all_data
iniparib	5	1.11 uM	0.4250176980652245	Cell Painting	non_spherized	all_data
inosine	5	1.11 uM	0.5252277512221686	Cell Painting	non_spherized	all_data
inositol	5	1.11 uM	0.3213554494136859	Cell Painting	non_spherized	all_data
iowh032	5	1.11 uM	0.4584015824484641	Cell Painting	non_spherized	all_data
ipratropium	5	1.11 uM	0.3441094035569143	Cell Painting	non_spherized	all_data
ipriflavone	5	1.11 uM	0.2681971107309048	Cell Painting	non_spherized	all_data
irinotecan	5	1.11 uM	0.5674353618359951	Cell Painting	non_spherized	all_data
isbufylline	5	1.11 uM	0.0971888698802443	Cell Painting	non_spherized	all_data
isoconazole	5	1.11 uM	0.4478522221303714	Cell Painting	non_spherized	all_data
isofloxythepin	5	1.11 uM	0.7412032118224776	Cell Painting	non_spherized	all_data
isosorbide	5	1.11 uM	0.1265601497009586	Cell Painting	non_spherized	all_data
isradipine	5	1.11 uM	0.1612685922090935	Cell Painting	non_spherized	all_data
istaroxime	5	1.11 uM	0.4813707113250843	Cell Painting	non_spherized	all_data
itopride	5	1.11 uM	0.2888176666657875	Cell Painting	non_spherized	all_data
ivabradine	5	1.11 uM	0.5407110499413424	Cell Painting	non_spherized	all_data
ivacaftor	5	1.11 uM	0.5963768573555639	Cell Painting	non_spherized	all_data
ivermectin	5	1.11 uM	0.5274542577609376	Cell Painting	non_spherized	all_data
ixabepilone	5	1.11 uM	0.7872537984191966	Cell Painting	non_spherized	all_data
josamycin	5	1.11 uM	0.2627327906343056	Cell Painting	non_spherized	all_data
kakonein	5	1.11 uM	0.5231532065547639	Cell Painting	non_spherized	all_data
kbg	4	1.11 uM	0.2381512001329843	Cell Painting	non_spherized	all_data
kd-023	5	1.11 uM	0.5245731089619527	Cell Painting	non_spherized	all_data
kd025	5	1.11 uM	0.3450633290278272	Cell Painting	non_spherized	all_data
ketoconazole	5	1.11 uM	0.3273319905681667	Cell Painting	non_spherized	all_data
ketoprofen	5	1.11 uM	0.0448469905442362	Cell Painting	non_spherized	all_data
ketorolac	2	1.11 uM	0.2211186366468202	Cell Painting	non_spherized	all_data
ketotifen	5	1.11 uM	0.1204474710176747	Cell Painting	non_spherized	all_data
kpt-330	5	1.11 uM	0.9479741699248728	Cell Painting	non_spherized	all_data
kw-2449	5	1.11 uM	0.6537902887950771	Cell Painting	non_spherized	all_data
kw-2478	2	1.11 uM	0.8158902825546117	Cell Painting	non_spherized	all_data
kx2-391	5	1.11 uM	0.8864194334091002	Cell Painting	non_spherized	all_data
l-citrulline	5	1.11 uM	0.6475380060865679	Cell Painting	non_spherized	all_data
l-ergothioneine	5	1.11 uM	0.4804469781332167	Cell Painting	non_spherized	all_data
l-name	5	1.11 uM	0.3879830089175493	Cell Painting	non_spherized	all_data
labetalol	5	1.11 uM	0.1449028973430746	Cell Painting	non_spherized	all_data
lacitol	5	1.11 uM	0.3078304914600439	Cell Painting	non_spherized	all_data
lacosamide	5	1.11 uM	0.3745514486521614	Cell Painting	non_spherized	all_data
lafutidine	5	1.11 uM	0.6952506933323224	Cell Painting	non_spherized	all_data
lamivudine	4	1.11 uM	0.2601243155397092	Cell Painting	non_spherized	all_data
lamotrigine	5	1.11 uM	0.652456048071336	Cell Painting	non_spherized	all_data
lapatinib	5	1.11 uM	0.1782471808483286	Cell Painting	non_spherized	all_data
lasalocid	4	1.11 uM	0.592928432046637	Cell Painting	non_spherized	all_data
latanoprost	5	1.11 uM	0.2155753800153063	Cell Painting	non_spherized	all_data
lcl-161	5	1.11 uM	0.614313612917019	Cell Painting	non_spherized	all_data
ledipasvir	5	1.11 uM	0.5856216570311148	Cell Painting	non_spherized	all_data
leflunomide	5	1.11 uM	0.7413436696310483	Cell Painting	non_spherized	all_data
lenalidomide	5	1.11 uM	0.3856387937515917	Cell Painting	non_spherized	all_data
lenvatinib	2	1.11 uM	-0.220841374894212	Cell Painting	non_spherized	all_data
lerisetron	5	1.11 uM	0.3347869886481588	Cell Painting	non_spherized	all_data
lersivirine	4	1.11 uM	0.7439389608297184	Cell Painting	non_spherized	all_data
lestaurtinib	5	1.11 uM	0.9302471059567134	Cell Painting	non_spherized	all_data
letermovir	5	1.11 uM	0.4039022768643683	Cell Painting	non_spherized	all_data
levalbuterol	5	1.11 uM	0.4428804043192856	Cell Painting	non_spherized	all_data
levamisole	5	1.11 uM	0.2778234326342264	Cell Painting	non_spherized	all_data
levcromakalim	5	1.11 uM	0.1475745117374481	Cell Painting	non_spherized	all_data
levetiracetam	5	1.11 uM	0.8397557995277822	Cell Painting	non_spherized	all_data
levobunolol	5	1.11 uM	0.1046897139048178	Cell Painting	non_spherized	all_data
levocabastine	5	1.11 uM	0.3629618572325587	Cell Painting	non_spherized	all_data
levocetirizine	5	1.11 uM	0.4434907563450044	Cell Painting	non_spherized	all_data
levofloxacin	5	1.11 uM	0.569399533845094	Cell Painting	non_spherized	all_data
levomequitazine	5	1.11 uM	0.3281410650225291	Cell Painting	non_spherized	all_data
levonorgestrel	5	1.11 uM	0.2658470937975485	Cell Painting	non_spherized	all_data
levosimendan	4	1.11 uM	0.3051227872052008	Cell Painting	non_spherized	all_data
levothyroxine	5	1.11 uM	0.0703371575125797	Cell Painting	non_spherized	all_data
lgx818	5	1.11 uM	0.4242589576949079	Cell Painting	non_spherized	all_data
licochalcone-a	5	1.11 uM	0.5687973792567658	Cell Painting	non_spherized	all_data
lidamidine	5	1.11 uM	0.346846338373154	Cell Painting	non_spherized	all_data
lidocaine	5	1.11 uM	0.1173822633316814	Cell Painting	non_spherized	all_data
lidoflazine	5	1.11 uM	0.3991395075495817	Cell Painting	non_spherized	all_data
linezolid	5	1.11 uM	0.7441490862689437	Cell Painting	non_spherized	all_data
linifanib	5	1.11 uM	0.4058678773533252	Cell Painting	non_spherized	all_data
linopirdine	5	1.11 uM	0.0447250222618596	Cell Painting	non_spherized	all_data
linsidomine	5	1.11 uM	0.829960624119015	Cell Painting	non_spherized	all_data
linsitinib	5	1.11 uM	0.628291271596944	Cell Painting	non_spherized	all_data
liranaftate	5	1.11 uM	0.366521328757479	Cell Painting	non_spherized	all_data
lisinopril	5	1.11 uM	0.3446542834733924	Cell Painting	non_spherized	all_data
lisofylline	5	1.11 uM	0.2040286991693307	Cell Painting	non_spherized	all_data
lobenzarit	5	1.11 uM	0.2241625543507642	Cell Painting	non_spherized	all_data
lodoxamide	5	1.11 uM	0.1218176537986225	Cell Painting	non_spherized	all_data
lofexidine	4	1.11 uM	-0.0326910936538007	Cell Painting	non_spherized	all_data
lomeguatrib	5	1.11 uM	0.2467823609757048	Cell Painting	non_spherized	all_data
lomerizine	5	1.11 uM	0.2114463721673914	Cell Painting	non_spherized	all_data
lomitapide	5	1.11 uM	0.3616605669647672	Cell Painting	non_spherized	all_data
lonafarnib	5	1.11 uM	0.8720625285780237	Cell Painting	non_spherized	all_data
lonidamine	5	1.11 uM	0.0491903390354442	Cell Painting	non_spherized	all_data
loperamide	5	1.11 uM	0.1767635793269215	Cell Painting	non_spherized	all_data
lopinavir	5	1.11 uM	0.7541793042199479	Cell Painting	non_spherized	all_data
loratadine	5	1.11 uM	0.2617877398587371	Cell Painting	non_spherized	all_data
lorazepam	5	1.11 uM	0.4184145100646368	Cell Painting	non_spherized	all_data
lorcaserin	5	1.11 uM	0.0097898203578066	Cell Painting	non_spherized	all_data
lorglumide	5	1.11 uM	-0.0625501815487359	Cell Painting	non_spherized	all_data
losmapimod	5	1.11 uM	0.4475613435627013	Cell Painting	non_spherized	all_data
loxoprofen	2	1.11 uM	-0.4454651878260897	Cell Painting	non_spherized	all_data
lucitanib	5	1.11 uM	0.3462416552329598	Cell Painting	non_spherized	all_data
luliconazole	5	1.11 uM	0.3248389423301826	Cell Painting	non_spherized	all_data
lupanine	5	1.11 uM	0.0617039813106744	Cell Painting	non_spherized	all_data
lurasidone	5	1.11 uM	0.2475352084513559	Cell Painting	non_spherized	all_data
lx1031	5	1.11 uM	0.2755425566781543	Cell Painting	non_spherized	all_data
ly215490	5	1.11 uM	0.7833037858188214	Cell Painting	non_spherized	all_data
ly2228820	5	1.11 uM	0.2229300277500297	Cell Painting	non_spherized	all_data
ly2334737	5	1.11 uM	0.2777868046975582	Cell Painting	non_spherized	all_data
ly2784544	5	1.11 uM	0.4333004109124253	Cell Painting	non_spherized	all_data
ly2811376	5	1.11 uM	0.3609080417035972	Cell Painting	non_spherized	all_data
ly2874455	5	1.11 uM	0.9480102071680035	Cell Painting	non_spherized	all_data
ly2886721	5	1.11 uM	0.1987911043968429	Cell Painting	non_spherized	all_data
macitentan	5	1.11 uM	0.5604003898373284	Cell Painting	non_spherized	all_data
malotilate	5	1.11 uM	0.8310019765097876	Cell Painting	non_spherized	all_data
manumycin-a	5	1.11 uM	0.3818807678650684	Cell Painting	non_spherized	all_data
maprotiline	5	1.11 uM	0.2426161726349182	Cell Painting	non_spherized	all_data
maraviroc	5	1.11 uM	0.2580514553243764	Cell Painting	non_spherized	all_data
maribavir	5	1.11 uM	0.2222149255371629	Cell Painting	non_spherized	all_data
marimastat	5	1.11 uM	0.3748724558211773	Cell Painting	non_spherized	all_data
masitinib	5	1.11 uM	0.1690745025692633	Cell Painting	non_spherized	all_data
masoprocol	5	1.11 uM	0.3770823300580053	Cell Painting	non_spherized	all_data
maxacalcitol	5	1.11 uM	0.6249351885164092	Cell Painting	non_spherized	all_data
mazindol	5	1.11 uM	0.0948726572261968	Cell Painting	non_spherized	all_data
mbx-2982	5	1.11 uM	0.0664143020038756	Cell Painting	non_spherized	all_data
mcpp	5	1.11 uM	0.3837099243091637	Cell Painting	non_spherized	all_data
mebendazole	5	1.11 uM	0.7959447586813564	Cell Painting	non_spherized	all_data
mecamylamine	5	1.11 uM	0.5485405230671957	Cell Painting	non_spherized	all_data
meclofenamic-acid	5	1.11 uM	0.4195109980639391	Cell Painting	non_spherized	all_data
meclozine	5	1.11 uM	0.1889965004400459	Cell Painting	non_spherized	all_data
medroxyprogesterone-acetate	5	1.11 uM	0.686758252227341	Cell Painting	non_spherized	all_data
medrysone	5	1.11 uM	0.7995594500301461	Cell Painting	non_spherized	all_data
meglitinide	5	1.11 uM	0.3355858108832639	Cell Painting	non_spherized	all_data
meisoindigo	5	1.11 uM	0.5550848380833526	Cell Painting	non_spherized	all_data
mek162	5	1.11 uM	0.788416495834655	Cell Painting	non_spherized	all_data
melatonin	5	1.11 uM	0.3617212446736816	Cell Painting	non_spherized	all_data
meloxicam	5	1.11 uM	0.3109191945403426	Cell Painting	non_spherized	all_data
melperone	5	1.11 uM	0.1207989203109516	Cell Painting	non_spherized	all_data
menadione	5	1.11 uM	0.7517667253540301	Cell Painting	non_spherized	all_data
mepacrine	5	1.11 uM	0.2096569074078975	Cell Painting	non_spherized	all_data
mepazine	5	1.11 uM	0.2061816781623436	Cell Painting	non_spherized	all_data
mephentermine	5	1.11 uM	0.3441507191434643	Cell Painting	non_spherized	all_data
mepivacaine	4	1.11 uM	0.3865950819511732	Cell Painting	non_spherized	all_data
mepyramine	5	1.11 uM	0.2677660768850982	Cell Painting	non_spherized	all_data
merbarone	5	1.11 uM	0.23177716342282	Cell Painting	non_spherized	all_data
mericitabine	5	1.11 uM	0.0738518672142094	Cell Painting	non_spherized	all_data
merimepodib	5	1.11 uM	0.6776774872070096	Cell Painting	non_spherized	all_data
mestranol	5	1.11 uM	0.4803377909981343	Cell Painting	non_spherized	all_data
mesulergine	5	1.11 uM	0.2518591917202268	Cell Painting	non_spherized	all_data
metamizole	5	1.11 uM	-0.0279851447405539	Cell Painting	non_spherized	all_data
metatinib	5	1.11 uM	0.6997468602634774	Cell Painting	non_spherized	all_data
metenkephalin	5	1.11 uM	0.1609259055917539	Cell Painting	non_spherized	all_data
metergoline	5	1.11 uM	0.233901390718891	Cell Painting	non_spherized	all_data
metformin	5	1.11 uM	0.7969459629642581	Cell Painting	non_spherized	all_data
methazolamide	5	1.11 uM	0.4726480269442847	Cell Painting	non_spherized	all_data
methimazole	5	1.11 uM	0.5177683322514157	Cell Painting	non_spherized	all_data
methiopril	5	1.11 uM	0.0243670144314018	Cell Painting	non_spherized	all_data
methocarbamol	5	1.11 uM	0.3705654328284984	Cell Painting	non_spherized	all_data
methoxsalen	5	1.11 uM	0.4547587359257381	Cell Painting	non_spherized	all_data
methyldopa	5	1.11 uM	0.7991389648238776	Cell Painting	non_spherized	all_data
methylnaltrexone	5	1.11 uM	0.4130285607727315	Cell Painting	non_spherized	all_data
methylprednisolone	5	1.11 uM	0.8221402717531877	Cell Painting	non_spherized	all_data
metixene	5	1.11 uM	0.3955596603447112	Cell Painting	non_spherized	all_data
metoclopramide	5	1.11 uM	0.1943282658611043	Cell Painting	non_spherized	all_data
metolazone	5	1.11 uM	0.4709926082532293	Cell Painting	non_spherized	all_data
metoprolol	5	1.11 uM	0.2823137311566909	Cell Painting	non_spherized	all_data
mf-101	5	1.11 uM	0.2122773246091949	Cell Painting	non_spherized	all_data
mianserin	5	1.11 uM	0.0451632804910491	Cell Painting	non_spherized	all_data
mibampator	2	1.11 uM	0.4207317273575368	Cell Painting	non_spherized	all_data
mibefradil	5	1.11 uM	0.2946200210096248	Cell Painting	non_spherized	all_data
miconazole	5	1.11 uM	0.2130237040470833	Cell Painting	non_spherized	all_data
midodrine	5	1.11 uM	-0.0472780841723846	Cell Painting	non_spherized	all_data
midostaurin	5	1.11 uM	0.9381147419785432	Cell Painting	non_spherized	all_data
mifobate	5	1.11 uM	0.2335031849797456	Cell Painting	non_spherized	all_data
miglitol	5	1.11 uM	0.096142037152578	Cell Painting	non_spherized	all_data
milacemide	5	1.11 uM	0.1436049281820221	Cell Painting	non_spherized	all_data
milnacipran	5	1.11 uM	0.2208575724885023	Cell Painting	non_spherized	all_data
milrinone	5	1.11 uM	0.5374116895391297	Cell Painting	non_spherized	all_data
minaprine	4	1.11 uM	0.1663769777198038	Cell Painting	non_spherized	all_data
minoxidil	5	1.11 uM	0.5696857824408768	Cell Painting	non_spherized	all_data
mirodenafil	5	1.11 uM	0.3679181440254031	Cell Painting	non_spherized	all_data
mirtazapine	5	1.11 uM	0.3375582422009012	Cell Painting	non_spherized	all_data
mitomycin-c	5	1.11 uM	0.9243677696383272	Cell Painting	non_spherized	all_data
mk-0752	5	1.11 uM	0.3990025796011427	Cell Painting	non_spherized	all_data
mk-0773	2	1.11 uM	0.0095707230281076	Cell Painting	non_spherized	all_data
mk-0812	5	1.11 uM	0.5699360561208795	Cell Painting	non_spherized	all_data
mk-0893	5	1.11 uM	0.2545065078035901	Cell Painting	non_spherized	all_data
mk-2461	5	1.11 uM	0.2737870220877363	Cell Painting	non_spherized	all_data
mk-3207	5	1.11 uM	0.3871927887915029	Cell Painting	non_spherized	all_data
mk-8033	5	1.11 uM	0.4598624156650792	Cell Painting	non_spherized	all_data
mk-8245	5	1.11 uM	0.0247784663454988	Cell Painting	non_spherized	all_data
mln0128	5	1.11 uM	0.7958221750129139	Cell Painting	non_spherized	all_data
mln2480	2	1.11 uM	-0.044347960656428	Cell Painting	non_spherized	all_data
mln9708	5	1.11 uM	0.8349138364870478	Cell Painting	non_spherized	all_data
moclobemide	5	1.11 uM	0.0092247281365938	Cell Painting	non_spherized	all_data
molindone	5	1.11 uM	0.8970895348991744	Cell Painting	non_spherized	all_data
molsidomine	5	1.11 uM	0.4420460347411994	Cell Painting	non_spherized	all_data
moxidectin	5	1.11 uM	0.8081188155262033	Cell Painting	non_spherized	all_data
moxifloxacin	5	1.11 uM	0.6278119485496656	Cell Painting	non_spherized	all_data
moxisylyte	5	1.11 uM	0.7077927711599656	Cell Painting	non_spherized	all_data
mozavaptan	5	1.11 uM	0.063169441244714	Cell Painting	non_spherized	all_data
mycophenolate-mofetil	5	1.11 uM	0.8857271665439068	Cell Painting	non_spherized	all_data
mycophenolic-acid	5	1.11 uM	0.9175685005240396	Cell Painting	non_spherized	all_data
n6022	5	1.11 uM	0.2643740377635845	Cell Painting	non_spherized	all_data
nafamostat	5	1.11 uM	0.1160395799778132	Cell Painting	non_spherized	all_data
naftidrofuryl	5	1.11 uM	0.2802755447364468	Cell Painting	non_spherized	all_data
naftopidil	4	1.11 uM	0.3917135183735022	Cell Painting	non_spherized	all_data
nalbuphine	5	1.11 uM	0.4079261962906816	Cell Painting	non_spherized	all_data
naphazoline	5	1.11 uM	0.4027832782199259	Cell Painting	non_spherized	all_data
naproxen	5	1.11 uM	0.5654513572878208	Cell Painting	non_spherized	all_data
naringenin	5	1.11 uM	0.4736845256238323	Cell Painting	non_spherized	all_data
narlaprevir	5	1.11 uM	0.2422573783851965	Cell Painting	non_spherized	all_data
nateglinide	2	1.11 uM	-0.1339979301859262	Cell Painting	non_spherized	all_data
navitoclax	5	1.11 uM	0.7295038341777966	Cell Painting	non_spherized	all_data
nebivolol	5	1.11 uM	0.1789566460874325	Cell Painting	non_spherized	all_data
nefiracetam	5	1.11 uM	0.2004386038574808	Cell Painting	non_spherized	all_data
nefopam	5	1.11 uM	0.2444803215835689	Cell Painting	non_spherized	all_data
nelarabine	5	1.11 uM	0.5200620576889781	Cell Painting	non_spherized	all_data
nemonapride	5	1.11 uM	0.6251003732574106	Cell Painting	non_spherized	all_data
nepafenac	5	1.11 uM	0.4167704459026029	Cell Painting	non_spherized	all_data
neratinib	5	1.11 uM	0.823741580006405	Cell Painting	non_spherized	all_data
nesbuvir	5	1.11 uM	0.8332926193648241	Cell Painting	non_spherized	all_data
netupitant	5	1.11 uM	0.2159687007573624	Cell Painting	non_spherized	all_data
nevirapine	5	1.11 uM	0.2408985562602161	Cell Painting	non_spherized	all_data
niacin	5	1.11 uM	0.7441664036916992	Cell Painting	non_spherized	all_data
nicaraven	5	1.11 uM	0.4173418779785007	Cell Painting	non_spherized	all_data
nicardipine	5	1.11 uM	0.2618046454184884	Cell Painting	non_spherized	all_data
nicergoline	5	1.11 uM	0.3104059057435006	Cell Painting	non_spherized	all_data
nicotinamide	5	1.11 uM	-0.1059074296857311	Cell Painting	non_spherized	all_data
nicotine	5	1.11 uM	0.267705041186716	Cell Painting	non_spherized	all_data
niguldipine	5	1.11 uM	0.3102091939629334	Cell Painting	non_spherized	all_data
nikethamide	5	1.11 uM	0.1597930883724443	Cell Painting	non_spherized	all_data
nilotinib	5	1.11 uM	0.1772609029534302	Cell Painting	non_spherized	all_data
nimesulide	5	1.11 uM	0.1677502338682745	Cell Painting	non_spherized	all_data
nimodipine	5	1.11 uM	0.3737904240769926	Cell Painting	non_spherized	all_data
nintedanib	5	1.11 uM	0.3672682346404752	Cell Painting	non_spherized	all_data
nisoxetine	5	1.11 uM	0.2437336481777464	Cell Painting	non_spherized	all_data
nitrendipine	5	1.11 uM	0.2885541367770869	Cell Painting	non_spherized	all_data
nizofenone	5	1.11 uM	0.1885812188867917	Cell Painting	non_spherized	all_data
nms-1286937	5	1.11 uM	0.9034580051415732	Cell Painting	non_spherized	all_data
norethindrone	5	1.11 uM	0.4249294857836698	Cell Painting	non_spherized	all_data
norethisterone	5	1.11 uM	0.390325914570475	Cell Painting	non_spherized	all_data
norfloxacin	5	1.11 uM	0.2131003628055288	Cell Painting	non_spherized	all_data
norgestrel	5	1.11 uM	0.6497351808854892	Cell Painting	non_spherized	all_data
nortriptyline	5	1.11 uM	0.2944755431805292	Cell Painting	non_spherized	all_data
noscapine	5	1.11 uM	0.26451753341973	Cell Painting	non_spherized	all_data
novobiocin	5	1.11 uM	0.2880980520886582	Cell Painting	non_spherized	all_data
nsi-189	5	1.11 uM	0.2697915787256	Cell Painting	non_spherized	all_data
nutlin-3	5	1.11 uM	0.7067287259766971	Cell Painting	non_spherized	all_data
nvp-dpp728	5	1.11 uM	0.2675828318642619	Cell Painting	non_spherized	all_data
nxy-059	5	1.11 uM	0.293525424266388	Cell Painting	non_spherized	all_data
o6-benzylguanine	5	1.11 uM	0.2521544293585088	Cell Painting	non_spherized	all_data
odanacatib	5	1.11 uM	0.2447728282063496	Cell Painting	non_spherized	all_data
ofloxacin	5	1.11 uM	0.3188944934071226	Cell Painting	non_spherized	all_data
oglemilast	5	1.11 uM	0.012331706371249	Cell Painting	non_spherized	all_data
olaparib	4	1.11 uM	0.2576826685665021	Cell Painting	non_spherized	all_data
olmesartan	5	1.11 uM	0.1636078560253379	Cell Painting	non_spherized	all_data
omecamtiv-mecarbil	5	1.11 uM	0.2033531829385232	Cell Painting	non_spherized	all_data
omeprazole	5	1.11 uM	0.4301569211856252	Cell Painting	non_spherized	all_data
ondansetron	5	1.11 uM	0.318991497631928	Cell Painting	non_spherized	all_data
oprozomib	5	1.11 uM	0.8461132334169782	Cell Painting	non_spherized	all_data
orantinib	5	1.11 uM	0.52984909941171	Cell Painting	non_spherized	all_data
ore1001	5	1.11 uM	0.5696744227309841	Cell Painting	non_spherized	all_data
org-9768	2	1.11 uM	-0.2470210998513554	Cell Painting	non_spherized	all_data
orlistat	5	1.11 uM	0.2724945706082452	Cell Painting	non_spherized	all_data
orphenadrine	5	1.11 uM	0.4589696564838051	Cell Painting	non_spherized	all_data
orteronel	4	1.11 uM	0.0142866201402187	Cell Painting	non_spherized	all_data
oseltamivir-carboxylate	5	1.11 uM	0.5585747072146368	Cell Painting	non_spherized	all_data
ostarine	5	1.11 uM	0.3201578232744715	Cell Painting	non_spherized	all_data
otamixaban	5	1.11 uM	0.3954209958707383	Cell Painting	non_spherized	all_data
otilonium	5	1.11 uM	0.1440987884063331	Cell Painting	non_spherized	all_data
ots167	5	1.11 uM	0.8929744296417469	Cell Painting	non_spherized	all_data
oxandrolone	5	1.11 uM	0.3657237508417675	Cell Painting	non_spherized	all_data
oxaprozin	5	1.11 uM	0.5412889579821972	Cell Painting	non_spherized	all_data
oxatomide	4	1.11 uM	0.0986307613255285	Cell Painting	non_spherized	all_data
